#task_id,task_type,worker_rank,timeout,overhead,inv,max,level,outcome,rc_num,rc_str,tot_msec_solv,tot_msec_task
acf6f0c4-5eb3-4cda-9d97-9d1929967df8,cnf,29,20.0,0.048204201999965335,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,58
97596678-49c0-4056-abb5-7481b5e3163f,cnf,30,20.0,0.04863687300002084,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
0f9557de-9398-461e-9162-9c1cf27c89b5,cnf,31,20.0,0.04941234300002861,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
21312e8a-0475-4869-b872-c5c3690239e7,cnf,32,20.0,0.048581602000012936,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
54f4f13b-2646-4240-bfb4-3f3045831434,cnf,33,20.0,0.04903938199998947,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
2132907d-34ba-4a2f-b396-7b8c792d0449,cnf,34,20.0,0.049656373000004805,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,18,60
e3d728c8-13b1-491d-9300-a74ce2123025,cnf,35,20.0,0.05024032199997919,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,60
345b1582-30a3-448e-84f2-3b47ceca85db,cnf,36,20.0,0.04874926200000118,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
53928207-0518-4559-9abb-661fd1bdcebf,cnf,37,20.0,0.04855120199999874,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,18,59
79338575-fee9-4cb6-a17f-481b6360633a,cnf,38,20.0,0.04830222200001799,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,58
790906cf-84f3-4581-91ae-34041823d109,cnf,39,20.0,0.048486621999984436,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
0a2c520f-e21f-4370-9fdc-54c23915a341,cnf,40,20.0,0.048432572000024265,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
f3195928-17cf-4e93-b1a0-89d1e1c3453d,cnf,41,20.0,0.04802264200003492,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,58
ed2a98b2-01be-4813-806b-3075a768cda1,cnf,42,20.0,0.04977174200001855,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,60
4fd1ee4b-61f7-45d0-afea-85747fa5e1e0,cnf,43,20.0,0.048484763000033126,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
c6fb76d5-6cb4-4c4a-9174-d07b3f04dd26,cnf,44,20.0,0.04806856200002585,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,17,58
027f05eb-c8b5-440d-9374-d9941e9567d8,cnf,45,20.0,0.04781767199995102,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,58
54a4aa11-0429-41b5-b560-922b61787499,cnf,46,20.0,0.048466861999997946,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,59
e657ad4d-aeaf-4401-8b72-80fe30096aa9,cnf,47,20.0,0.051647991999971055,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,24,62
cc0415e8-b38a-4637-a116-c2a8c7520768,cnf,48,20.0,0.049764821999986,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,60
deb20fe8-0b17-44fc-844c-1217410f7f40,cnf,49,20.0,0.04757871199996089,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,58
d2d33a24-2bd7-4a0a-a169-0cbb910811a8,cnf,50,20.0,0.04903304300000855,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
33528385-484f-495d-bca2-d9f799ced152,cnf,51,20.0,0.04761214199999131,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,58
